geoid_o,geoid_d,lng_o,lat_o,lng_d,lat_d,date,visitor_flows,pop_flows
55025001603,55025000901,-89.39542952346503,43.073402535839655,-89.42277982757564,43.0651916657584,2020-06-27,1,34.0
55025001603,55025001705,-89.39542952346503,43.073402535839655,-89.38217715068139,43.076580380056136,2020-06-27,5,172.0
55025001603,55025000408,-89.39542952346503,43.073402535839655,-89.48804453957678,43.053602697119466,2020-06-27,2,69.0
55025001603,55025011600,-89.39542952346503,43.073402535839655,-89.1943287751742,43.195174606054614,2020-06-27,1,34.0
55025001603,55025001704,-89.39542952346503,43.073402535839655,-89.38609922277058,43.07291642381157,2020-06-27,5,172.0
55025001603,55025001403,-89.39542952346503,43.073402535839655,-89.41467025857719,43.017890709175404,2020-06-27,1,34.0
55025001603,55025000300,-89.39542952346503,43.073402535839655,-89.46026469958876,43.06764975323953,2020-06-27,2,69.0
55025001603,55025000902,-89.39542952346503,43.073402535839655,-89.42596698430582,43.07020611394988,2020-06-27,2,69.0
55025001603,55025011102,-89.39542952346503,43.073402535839655,-89.4766250364069,43.12425230099619,2020-06-27,2,69.0
55025001603,55025010904,-89.39542952346503,43.073402535839655,-89.5705434417137,43.09014711310449,2020-06-27,2,69.0
55025001603,55025001605,-89.39542952346503,43.073402535839655,-89.38963413939442,43.067579972574386,2020-06-27,1,34.0
55025001603,55025001402,-89.39542952346503,43.073402535839655,-89.42230951849939,43.04089382106388,2020-06-27,1,34.0
55025001603,55025002700,-89.39542952346503,43.073402535839655,-89.32283558823927,43.094317037473004,2020-06-27,1,34.0
55025001603,55025001606,-89.39542952346503,43.073402535839655,-89.39563377323925,43.07013932453127,2020-06-27,6,207.0
55025001603,55025001200,-89.39542952346503,43.073402535839655,-89.40697670422286,43.062935710444954,2020-06-27,3,103.0
55025001603,55025001604,-89.39542952346503,43.073402535839655,-89.39223095684773,43.076618550311345,2020-06-27,10,345.0
55025001603,55025000204,-89.39542952346503,43.073402535839655,-89.51259546852494,43.06787963156987,2020-06-27,1,34.0
55025001603,55025001401,-89.39542952346503,43.073402535839655,-89.3871292119251,43.0445921240038,2020-06-27,1,34.0
55025001603,55025001603,-89.39542952346503,43.073402535839655,-89.39542952346503,43.073402535839655,2020-06-27,81,2801.0
55025001603,55025001101,-89.39542952346503,43.073402535839655,-89.40739082614674,43.070562601658004,2020-06-27,4,138.0
