ct,StateFIPS,CountyFIPS,TractCode,State,County,area
55079008900,55,079,008900,WI,Milwaukee County,0.59689203962
55079009000,55,079,009000,WI,Milwaukee County,0.50305903473
55079009100,55,079,009100,WI,Milwaukee County,0.50869961204
55079009200,55,079,009200,WI,Milwaukee County,0.40789819097
55079009300,55,079,009300,WI,Milwaukee County,0.57052572297
55079009400,55,079,009400,WI,Milwaukee County,0.60414889804
55079009500,55,079,009500,WI,Milwaukee County,0.51756057980
55079009600,55,079,009600,WI,Milwaukee County,1.02967736205
55079009700,55,079,009700,WI,Milwaukee County,0.44621692562
55079009800,55,079,009800,WI,Milwaukee County,0.44016006060
55079009900,55,079,009900,WI,Milwaukee County,0.51629546168
55079010600,55,079,010600,WI,Milwaukee County,0.29078409755
55079010700,55,079,010700,WI,Milwaukee County,0.61250009729
55079010800,55,079,010800,WI,Milwaukee County,0.32463589734
55079011000,55,079,011000,WI,Milwaukee County,0.27815062588
55079011100,55,079,011100,WI,Milwaukee County,0.24793557350
55079011200,55,079,011200,WI,Milwaukee County,0.41031496321
55079011300,55,079,011300,WI,Milwaukee County,0.47118381689
55079011400,55,079,011400,WI,Milwaukee County,0.55128755417
55079012200,55,079,012200,WI,Milwaukee County,0.49853814263
55079012300,55,079,012300,WI,Milwaukee County,0.76918492812
55079012400,55,079,012400,WI,Milwaukee County,1.31549254841
55079012500,55,079,012500,WI,Milwaukee County,1.81962329438
55079012600,55,079,012600,WI,Milwaukee County,0.78662867057
55079012700,55,079,012700,WI,Milwaukee County,1.01593122655
55079012800,55,079,012800,WI,Milwaukee County,2.73008517705
55079012900,55,079,012900,WI,Milwaukee County,1.05635735140
55079013000,55,079,013000,WI,Milwaukee County,0.64406771795
55079013300,55,079,013300,WI,Milwaukee County,0.59629712345
55079013400,55,079,013400,WI,Milwaukee County,0.53545581300
55079013500,55,079,013500,WI,Milwaukee County,0.25334275972
55079013600,55,079,013600,WI,Milwaukee County,0.39089895651
55079013700,55,079,013700,WI,Milwaukee County,0.31549113603
55079014100,55,079,014100,WI,Milwaukee County,0.66506039462
55079014300,55,079,014300,WI,Milwaukee County,0.25119457072
55079014400,55,079,014400,WI,Milwaukee County,0.58774275962
55079014600,55,079,014600,WI,Milwaukee County,0.40441524839
55079014700,55,079,014700,WI,Milwaukee County,0.26949809964
55079014800,55,079,014800,WI,Milwaukee County,0.34221437880
55079014900,55,079,014900,WI,Milwaukee County,0.35662968426
55079015700,55,079,015700,WI,Milwaukee County,0.48661165228
